ID,Density_first_sen_sum,Coverage_first_sen_sum,Density_first_sen_title_sum,Coverage_first_sen_title_sum,Comp,Comp_title
5280,0.578947368,0.210526316,0.444444444,0.185185185,0.480769231,0.346153846
5281,2.62962963,0.407407407,2.088235294,0.411764706,0.804597701,0.752873563
5282,0.441176471,0.411764706,0.372093023,0.395348837,0.795774648,0.73943662
5283,3.793103448,0.379310345,3,0.351351351,0.858695652,0.815217391
5284,7.576923077,0.346153846,5.970588235,0.352941176,0.705263158,0.631578947
5285,1.857142857,0.607142857,1.514285714,0.571428571,0.823255814,0.786046512
5286,14.81578947,0.526315789,12.34782609,0.52173913,0.850961538,0.817307692
5287,0.516129032,0.290322581,0.421052632,0.342105263,0.680327869,0.614754098
5288,0.263157895,0.105263158,0.239130435,0.108695652,0.637681159,0.52173913
5289,0.36,0.28,0.375,0.3125,0.874285714,0.834285714
5290,1.095238095,0.380952381,0.821428571,0.428571429,0.875518672,0.846473029
5291,0.666666667,0.533333333,0.567567568,0.486486486,0.763636364,0.709090909
5292,0.24,0.12,0.193548387,0.096774194,0.857142857,0.817142857
5293,1,0.28,0.78125,0.3125,0.773195876,0.701030928
5294,1,0.136363636,0.793103448,0.137931034,0.878571429,0.814285714
5295,1.588235294,0.705882353,1.961538462,0.769230769,0.626865672,0.52238806
5296,0.44,0.16,0.34375,0.1875,0.882113821,0.845528455
5297,7.068965517,0.551724138,5.394736842,0.526315789,0.818897638,0.748031496
5298,4.782608696,0.391304348,6.25,0.46875,0.487804878,0.402439024
5299,0.976190476,0.357142857,1.265306122,0.408163265,0.84516129,0.8
5300,2.416666667,0.458333333,1.90625,0.5,0.68,0.59
5301,14.3125,0.65625,11.34146341,0.634146341,0.91005291,0.867724868
5302,1.5,0.5625,1.666666667,0.541666667,0.75739645,0.715976331
5303,0.829268293,0.341463415,0.75,0.375,0.7875,0.675
5304,0.470588235,0.294117647,0.307692308,0.230769231,0.651376147,0.568807339
5305,0.648648649,0.297297297,0.565217391,0.260869565,0.817391304,0.747826087
5306,0.380952381,0.380952381,0.310344828,0.310344828,0.813953488,0.751937984
5307,1.583333333,0.333333333,1.21875,0.40625,0.947474747,0.929292929
5308,0.730769231,0.461538462,0.685714286,0.485714286,0.865800866,0.826839827
5309,1.806451613,0.483870968,1.4,0.55,0.771428571,0.721428571
5310,0.322580645,0.193548387,0.289473684,0.210526316,0.732673267,0.653465347
5311,1.692307692,0.5,2.727272727,0.575757576,0.818604651,0.781395349
5312,2.948717949,0.358974359,2.446808511,0.361702128,0.866197183,0.816901408
5313,2.789473684,0.421052632,2.269230769,0.423076923,0.861386139,0.811881188
5314,0.214285714,0.142857143,0.236842105,0.184210526,0.896551724,0.873563218
5315,1.740740741,0.62962963,1.424242424,0.666666667,0.728,0.656
5316,1.647058824,0.411764706,1.395348837,0.418604651,0.782258065,0.717741935
5317,5.481481481,0.62962963,4.657142857,0.542857143,0.794326241,0.744680851
5318,0.379310345,0.103448276,0.305555556,0.083333333,0.838323353,0.784431138
5319,4.407407407,0.62962963,3.5,0.555555556,0.870748299,0.823129252
5320,0.263157895,0.263157895,0.230769231,0.269230769,0.382978723,0.212765957
5321,6.827586207,0.413793103,6.108108108,0.459459459,0.733333333,0.666666667
5322,0.392857143,0.285714286,0.314285714,0.371428571,0.666666667,0.601449275
5323,3.108695652,0.456521739,2.654545455,0.472727273,0.848275862,0.779310345
5324,0.761904762,0.428571429,0.516129032,0.387096774,0.789915966,0.731092437
5325,1.12,0.44,1.03125,0.5,0.725490196,0.637254902
5326,19.89285714,0.535714286,15.51351351,0.540540541,0.555555556,0.388888889
5327,0.291666667,0.208333333,0.303030303,0.242424242,0.823529412,0.786096257
5328,1.909090909,0.636363636,1.625,0.625,0.68115942,0.579710145
5329,1.090909091,0.454545455,1.275862069,0.482758621,0.830188679,0.745283019
5330,5.833333333,0.333333333,4,0.333333333,0.808743169,0.770491803
5331,1.228571429,0.4,1.095238095,0.380952381,0.8125,0.7578125
5332,1.583333333,0.291666667,1.290322581,0.322580645,0.736263736,0.67032967
5333,0.458333333,0.208333333,0.433333333,0.2,0.847457627,0.796610169
5334,1.111111111,0.277777778,1.541666667,0.333333333,0.81920904,0.768361582
5335,0.53125,0.3125,0.43902439,0.292682927,0.796296296,0.722222222
5336,1.045454545,0.409090909,0.766666667,0.4,0.194444444,-0.083333333
5337,0.206896552,0.137931034,-1,0.102564103,0.5,0.307692308
5338,0.4,0.36,0.8,0.428571429,0.823529412,0.77124183
5339,0.592592593,0.333333333,0.514285714,0.342857143,0.840277778,0.791666667
